Name,Version
Visual C++ 2015-2022 Redistributable Package (x86),14.34.31938.0
Disable-NetBIOS,1
WiFI Configuration Settings,1
Unquoted Service Paths Fix R1,1
Disable SNMP Port Status,1
Speculative Store Bypass,2
Monitor Information Reporting,6.0.5.0
WalkMe Extension,3.3.78
Access Symphony,3.9.1.7
Symantec Data Loss Prevention (DLP) Agent,15.8_R1
DesktopAppInstaller,1.16
WFDC Help Center,3.4
Web Proxy Auto-Discovery Protocol Script Delivery,1
Edge WebView2 Runtime,99.0.1150.36
Paint 3D,6.2203.1037.0
Windows 10 Photos,2022.30060.3006
Windows 10 Codec Update,1.5
Symantec Web Security Service Agent (WSS Agent),8.2.1
Falcon Sensor,6.5
Visual C++ 2015-2022 Redistributable Package (x64),14.34.31938.0
WFDC6xx MS Patches,1
Tanium (Platform) (Core Platform) Client,7.4.7.1179
MEMCM Startup Script (SCCM),5.4.4
Endpoint Protection Client,14.3.3580.1100
WFDC Service,2.12
BIOS Update SCR,1.1
